name,open_price,high_price,low_price,close_price,price_change,change_rate,trading_volume,date
현대오토에버,143000,143400,139200,140000,-4000,-2.78%,19543,25.05.30
현대오토에버,142700,144500,141700,144000,2100,+1.48%,40335,25.05.29
현대오토에버,145000,145500,141600,141900,-2400,-1.66%,53183,25.05.28
현대오토에버,142000,145000,140300,144300,2900,+2.05%,75050,25.05.27
현대오토에버,141800,144500,140100,141400,-400,-0.28%,53822,25.05.26
현대오토에버,138400,143500,138400,141800,2600,+1.87%,92794,25.05.23
현대오토에버,131700,140500,131700,139200,6200,+4.66%,89463,25.05.22
현대오토에버,131900,136200,131800,133000,1300,+0.99%,32078,25.05.21
현대오토에버,134200,135600,131200,131700,-2500,-1.86%,32132,25.05.20
현대오토에버,133600,135200,133000,134200,-1000,-0.74%,36046,25.05.19
현대오토에버,135300,137400,135200,135200,-1200,-0.88%,28429,25.05.16
현대오토에버,136500,137800,135700,136400,-1500,-1.09%,40365,25.05.15
현대오토에버,135600,138100,135000,137900,3900,+2.91%,80359,25.05.14
현대오토에버,132700,135300,132000,134000,1300,+0.98%,58176,25.05.13
현대오토에버,130300,133600,129800,132700,2400,+1.84%,54021,25.05.12
현대오토에버,129000,130900,127700,130300,1300,+1.01%,45359,25.05.09
현대오토에버,127000,130200,127000,129000,2200,+1.74%,47143,25.05.08
현대오토에버,125500,127500,123800,126800,1400,+1.12%,33779,25.05.07
현대오토에버,123400,126800,123400,125400,2200,+1.79%,45772,25.05.02
현대오토에버,123300,124500,120600,123200,900,+0.74%,57275,25.04.30
현대오토에버,117800,123400,114300,122300,4500,+3.82%,129254,25.04.29
현대오토에버,120300,121100,117000,117800,-900,-0.76%,42937,25.04.28
현대오토에버,118500,119100,117800,118700,800,+0.68%,21334,25.04.25
현대오토에버,120500,120600,116900,117900,-1900,-1.59%,36083,25.04.24
현대오토에버,119000,119800,117500,119800,2000,+1.70%,27568,25.04.23
현대오토에버,117300,118900,117300,117800,-1200,-1.01%,11627,25.04.22
현대오토에버,120000,120700,118200,119000,-1000,-0.83%,13569,25.04.21
현대오토에버,118600,120000,117800,120000,1700,+1.44%,29036,25.04.18
현대오토에버,119200,120600,117300,118300,-2100,-1.74%,42676,25.04.17
현대오토에버,119500,122900,118100,120400,200,+0.17%,52619,25.04.16
현대오토에버,121200,122400,120100,120200,1300,+1.09%,35740,25.04.15
현대오토에버,119200,120000,117600,118900,300,+0.25%,34744,25.04.14
현대오토에버,115100,119300,114200,118600,200,+0.17%,46622,25.04.11
현대오토에버,116700,118500,115200,118400,6400,+5.71%,29928,25.04.10
현대오토에버,107200,112900,107000,112000,1900,+1.73%,40436,25.04.09
현대오토에버,112500,114900,110100,110100,-1400,-1.26%,23245,25.04.08
현대오토에버,115000,116400,111200,111500,-7900,-6.62%,44438,25.04.07
현대오토에버,116200,119900,116200,119400,1000,+0.84%,28016,25.04.04
현대오토에버,114700,119400,114500,118400,-100,-0.08%,35958,25.04.03
현대오토에버,120300,121000,118400,118500,-1800,-1.50%,21955,25.04.02
현대오토에버,120100,121100,117800,120300,1000,+0.84%,36100,25.04.01
현대오토에버,125500,127500,119000,119300,-8700,-6.80%,65694,25.03.31
현대오토에버,131000,131000,127700,128000,-3100,-2.36%,50468,25.03.28
현대오토에버,133500,134400,131000,131100,-4100,-3.03%,34170,25.03.27
현대오토에버,135900,136400,134900,135200,-0,0.00%,22889,25.03.26
현대오토에버,139000,139200,134500,135200,800,+0.60%,76725,25.03.25
현대오토에버,132600,136600,131600,134400,2500,+1.90%,49070,25.03.24
현대오토에버,131200,132700,131200,131900,300,+0.23%,26810,25.03.21
현대오토에버,133900,135000,131200,131600,-1400,-1.05%,35513,25.03.20
현대오토에버,132400,133300,132300,133000,600,+0.45%,23568,25.03.19
현대오토에버,134700,134800,132100,132400,-1800,-1.34%,37567,25.03.18
현대오토에버,137200,137300,134100,134200,-2500,-1.83%,35492,25.03.17
현대오토에버,136700,138100,134900,136700,-0,0.00%,26216,25.03.14
현대오토에버,136000,139300,134600,136700,1900,+1.41%,94865,25.03.13
현대오토에버,129600,137500,129600,134800,5200,+4.01%,74929,25.03.12
현대오토에버,128300,131000,127300,129600,-700,-0.54%,38625,25.03.11
현대오토에버,133000,134000,130100,130300,-2700,-2.03%,54323,25.03.10
현대오토에버,131400,135500,131400,133000,-0,0.00%,34652,25.03.07
현대오토에버,133400,136800,132100,133000,800,+0.61%,82155,25.03.06
현대오토에버,131600,134200,131300,132200,700,+0.53%,33585,25.03.05
현대오토에버,129100,133000,129000,131500,-200,-0.15%,24986,25.03.04
현대오토에버,133300,133900,131500,131700,-2800,-2.08%,42444,25.02.28
현대오토에버,134800,135400,133800,134500,-300,-0.22%,30780,25.02.27
현대오토에버,136800,136900,134200,134800,-2100,-1.53%,67481,25.02.26
현대오토에버,138900,138900,136900,136900,-2100,-1.51%,36563,25.02.25
현대오토에버,137900,139800,136600,139000,100,+0.07%,33685,25.02.24
현대오토에버,138100,140500,137400,138900,1900,+1.39%,50370,25.02.21
현대오토에버,140500,141600,136800,137000,-3300,-2.35%,84263,25.02.20
현대오토에버,140000,141100,139300,140300,-200,-0.14%,49913,25.02.19
현대오토에버,138600,140500,138300,140500,1600,+1.15%,48045,25.02.18
현대오토에버,140000,140500,138400,138900,-1600,-1.14%,66167,25.02.17
현대오토에버,142800,142800,139200,140500,-1000,-0.71%,52665,25.02.14
현대오토에버,142800,144600,141400,141500,-200,-0.14%,77933,25.02.13
현대오토에버,146900,147100,141600,141700,-6600,-4.45%,113786,25.02.12
현대오토에버,150800,151400,148000,148300,-2500,-1.66%,56176,25.02.11
현대오토에버,147300,153200,147200,150800,3100,+2.10%,143180,25.02.10
현대오토에버,147800,150200,146100,147700,-100,-0.07%,63458,25.02.07
현대오토에버,149900,149900,145800,147800,-2100,-1.40%,85488,25.02.06
현대오토에버,142300,149900,142300,149900,8600,+6.09%,190299,25.02.05
현대오토에버,145700,145800,140400,141300,-3100,-2.15%,100737,25.02.04
현대오토에버,140200,146800,138000,144400,1400,+0.98%,131723,25.02.03
현대오토에버,138500,143600,138200,143000,4700,+3.40%,90684,25.01.31
현대오토에버,137900,142300,137000,138300,600,+0.44%,59665,25.01.24
현대오토에버,139700,139800,136900,137700,-2000,-1.43%,38970,25.01.23
현대오토에버,138400,140300,137200,139700,1100,+0.79%,37802,25.01.22
현대오토에버,136400,139200,135800,138600,2200,+1.61%,55222,25.01.21
현대오토에버,138500,138500,136000,136400,-1600,-1.16%,43806,25.01.20
현대오토에버,140700,140700,137600,138000,-3500,-2.47%,47791,25.01.17
현대오토에버,142400,143100,141000,141500,1200,+0.86%,41867,25.01.16
현대오토에버,143000,144400,140300,140300,-100,-0.07%,82269,25.01.15
현대오토에버,142000,143800,139900,140400,-700,-0.50%,51126,25.01.14
현대오토에버,141300,143400,138600,141100,-900,-0.63%,107164,25.01.13
현대오토에버,138300,146600,138200,142000,8500,+6.37%,399669,25.01.10
현대오토에버,133300,135300,132700,133500,200,+0.15%,72503,25.01.09
현대오토에버,131700,134300,130800,133300,900,+0.68%,52655,25.01.08
현대오토에버,134600,135500,131800,132400,-2100,-1.56%,64644,25.01.07
현대오토에버,133800,134800,132100,134500,2200,+1.66%,40849,25.01.06
현대오토에버,134000,134500,132000,132300,-2700,-2.00%,55160,25.01.03
현대오토에버,126700,135000,126700,135000,8900,+7.06%,115482,25.01.02
현대오토에버,126500,127100,125000,126100,-500,-0.39%,44609,24.12.30
현대오토에버,127400,128600,125600,126600,-900,-0.71%,32818,24.12.27
현대오토에버,129600,130000,126400,127500,-1500,-1.16%,52570,24.12.26
현대오토에버,132400,132700,129000,129000,-3300,-2.49%,68356,24.12.24
현대오토에버,132100,133300,130500,132300,800,+0.61%,23521,24.12.23
현대오토에버,133100,134400,130300,131500,-2900,-2.16%,45541,24.12.20
현대오토에버,133600,136600,132600,134400,-2700,-1.97%,53550,24.12.19
현대오토에버,130500,137400,130300,137100,6600,+5.06%,102870,24.12.18
현대오토에버,132600,133300,129700,130500,-1400,-1.06%,62562,24.12.17
현대오토에버,135500,137100,131500,131900,-700,-0.53%,48317,24.12.16
현대오토에버,134000,134000,130600,132600,-1600,-1.19%,52200,24.12.13
현대오토에버,135300,136300,132400,134200,1300,+0.98%,55025,24.12.12
현대오토에버,131000,133200,129100,132900,2300,+1.76%,31328,24.12.11
현대오토에버,124900,131000,124900,130600,6100,+4.90%,44926,24.12.10
현대오토에버,124100,128600,123800,124500,-4700,-3.64%,66000,24.12.09
현대오토에버,131200,132400,124500,129200,-2000,-1.52%,79729,24.12.06
현대오토에버,132800,132900,130200,131200,-600,-0.46%,30633,24.12.05
현대오토에버,130200,133500,130100,131800,-2400,-1.79%,47380,24.12.04
현대오토에버,134000,134700,132900,134200,1100,+0.83%,43575,24.12.03
현대오토에버,139400,141500,133100,133100,-6900,-4.93%,82142,24.12.02
현대오토에버,142300,143000,139200,140000,-1400,-0.99%,37104,24.11.29
